,name,cuisine,latitude,longitude,address,rating,review_count,price
1155,Fat Bird,english,1.29780492395512,103.856542737434,"['1 Liang Seah St', '#01-15/16', 'Singapore 189022', 'Singapore']",4.0,9,$$
1156,Club55,english,1.284922,103.861143,"['10 Bayfront Ave', 'Hotel Tower 2, Level 55', 'Singapore 018956', 'Singapore']",4.5,6,$$
1157,Din Tai Fung,english,1.303999,103.83318,"['435 Orchard Rd', 'Level 4', 'Singapore 238877', 'Singapore']",4.5,125,$$
1158,The Seafood Market Place By Song fish,english,1.30678,103.7883377,"['1 Vista Exchange Green Unit', '#01-18, Star Vista', 'Singapore 138617', 'Singapore']",4.0,1,$$
1159,Vatos Urban Tacos,english,1.2959732,103.8561986,"['36 Beach Rd', 'Singapore 189766', 'Singapore']",4.0,87,$$
1160,Food Village @ Takashimaya,english,1.302451,103.834845,"['391 Orchard Rd', 'Singapore 238872', 'Singapore']",4.0,13,$$
1161,Ramen Keisuke Tori King,english,1.275296,103.843668,"['100 Tras St', '#03-15', 'Singapore 079027', 'Singapore']",4.0,30,$$
1162,JB Ah Meng,english,1.3136214779291,103.886015567134,"['534 Geylang Rd', 'Singapore 389490', 'Singapore']",4.5,20,$$
1163,Dragon Phoenix,english,1.2916,103.845001,"['177A River Valley Rd', '#06', 'Singapore 179031', 'Singapore']",4.0,5,$$
1164,Tanglin Market Place,english,1.304923,103.823787,"['163 Tanglin Rd', '#B1-02/03', 'Singapore 247933', 'Singapore']",4.5,4,$$
1165,Lang Nuong Viet Nam,english,1.3119808673277,103.85969512993,"['18 Foch Rd', 'Singapore 209260', 'Singapore']",4.5,5,$$
1166,Founder Bak Kut Teh,english,1.30545617072555,103.860212026586,"['500 Jalan Sultan', '#01-09', 'Singapore 199020', 'Singapore']",4.5,14,$$
1167,Shanghai Ren Jia,english,1.37669,103.8411713,"['151 Ang Mo Kio Avenue 5', '#01-3046', 'Singapore 560151', 'Singapore']",4.0,13,$$
1168,Hamburg Steak Keisuke,english,1.27736,103.84468,"['72 Peck Seah St', 'Singapore 079329', 'Singapore']",4.5,10,$$
1169,Mahota Commune,english,1.30831,103.8623099,"['809 French Rd', 'Level 3, Kitchener Complex', 'Singapore 200809', 'Singapore']",5.0,5,$$
1170,Char Restaurant,english,1.31267,103.85956,"['363 Jalan Besar', 'Singapore 208994', 'Singapore']",4.5,8,$$
1171,Empress,english,1.28721724978963,103.851439990103,"['1 Empress Pl', '#01-03, Asian Civilisations Museum', 'Singapore 179555', 'Singapore']",4.5,10,$$
1172,Brunches Cafe,english,1.314428,103.853973,"['96 Rangoon Rd', 'Singapore 218375', 'Singapore']",4.5,25,$$
1173,Hokkaido Ramen Santouka,english,1.28796305006824,103.846003923218,"['6 Eu Tong Sen St', '#02-76', 'Singapore 059817', 'Singapore']",4.5,58,$$
1174,Fatboy's The Burger Bar,english,1.29888228707499,103.846076347301,"['38 Orchard Road', 'Singapore 238836', 'Singapore']",4.0,9,$$
1175,My Awesome Cafe,english,1.28016,103.8471,"['202 Telok Ayer Street', 'Singapore 068639', 'Singapore']",4.0,38,$$
1176,Streets of London @ British Hainan,english,1.31238129287846,103.898655921221,"['75 Carpmael Road', 'Singapore 429812', 'Singapore']",4.5,5,$$
1177,Ippudo,english,1.30199,103.836799,"['333A Orchard Rd', '04-02/03/04', 'Singapore 238897', 'Singapore']",4.0,79,$$
1178,Alter Ego,english,1.28923894692078,103.856581543506,"['8 Raffles Ave', '#01-13D', 'Singapore 039802', 'Singapore']",2.5,5,$$
1179,Fatboy's The Burger Bar,english,1.30695505297346,103.833477547556,"['187 Upper Thomson Rd', 'Singapore 228213', 'Singapore']",4.0,19,$$
1180,Tiong Bahru Bakery,english,1.28428,103.83383,"['56 Eng Hoon St', '#01-70', 'Singapore 160056', 'Singapore']",4.0,69,$$
1181,Third & Sixth Bistrobar,english,1.29604,103.85489,"['36 Seah St', 'Singapore 189673', 'Singapore']",4.5,10,$$
1182,Going Om,english,1.301332,103.858521,"['63 Haji Lane', 'Singapore 189256', 'Singapore']",4.5,19,$$
1183,Wing Seong Fatty's,english,1.30219792015325,103.852494098246,"['175 Bencoolen St', '#01-31, Burlington Square', 'Singapore 189649', 'Singapore']",4.0,15,$$
1184,Wolf Burgers,english,1.29500977028277,103.858787566423,"['3 Temasek Boulevard', '#01-455', 'Singapore 038983', 'Singapore']",4.5,13,$$
1185,Two Chefs Eating Place,english,1.30721268583436,103.800009302795,"['116 Commonwealth Crescent', '#01-129', 'Singapore 140116', 'Singapore']",3.5,17,$$
1186,Boon Tong Kee,english,1.32008,103.86256,"['34 Whampoa West', '#01-93', 'Singapore 330034', 'Singapore']",4.5,14,$$
1187,Hopheads,english,1.29680320030355,103.844118416309,"['178 Clemenceau Ave', '#B1-00', 'Haw Par Glass Tower', 'Singapore 239926', 'Singapore']",3.5,3,$$
1188,Beach Road Kitchen,english,1.2947,103.85551,"['30 Beach Rd', 'Level 1', 'Singapore 189763', 'Singapore']",4.5,13,$$
1189,Asia Grand Restaurant,english,1.2958962906156,103.853534789024,"['331 North Bridge Rd', '#01-02, #01-05 - 08', 'Singapore 188720', 'Singapore']",4.0,12,$$
1190,YAYOI,english,1.27440552748694,103.843374252319,"['100 Tras St', '#03-12, 100 AM', 'Singapore 569922', 'Singapore']",4.5,8,$$
1191,Keng Eng Kee Seafood,english,1.2860399,103.8034286,"['124 Bukit Merah Lane 1', '01-136', 'Singapore 150124', 'Singapore']",4.0,22,$$
1192,City Hot Pot Shabu Shabu,english,1.2839,103.851453,"['1 Raffles Pl', '#04-28', 'Singapore 048616', 'Singapore']",4.5,3,$$
